OPCAO,CARGO,AREA,SUBAREA,VAGAS
40000002,Técnico,Laboratório e Campos Experimentais,Manejo Animal,18
40000007,Assistente,Laboratório e Campos Experienciais,Manejo Animal,22
40000012,Analista,Gestão de Pessoas,Saúde Ocupacional,1
40000013,Analista,Laboratórios e Campos Experimentais,Cultura de Tecidos,3
40000015,Pesquisador,Ciências Biológicas,Conservação de Recursos Genéticos Vegetais,1
40000035,Assistente,"Suprimento, Manutenção e Serviços",Operador de Máquinas Agrícolas e Veículos,37
40000042,Analista,Ciências Biológicas,Botânica e Ecologia,1
40000043,Pesquisador,Ciências Exatas e da Terra,Geoprocessamento,1
40000058,Pesquisador,Ciências Agrárias,Virologia Vegetal,3
40000062,Pesquisador,Ciências Agrárias,Entomologia Agrícola,11
40000065,Pesquisador,Nanotecnologia,Nanotecnologia,2
40000084,Técnico,Laboratório e Campos Experimentais,Manejo Vegetal,112
40000092,Pesquisador,Ciências Agrárias,Sistema de Produção de Tuberosas,1
40000113,Pesquisador,Ciências Exatas e da Terra,Sistemas de Informação Geográfica (SIG) e Desenvolvimento Territorial,1
40000115,Pesquisador,Ciências Sociais Aplicadas,Desenvolvimento Territorial e Turismo,1
40000116,Pesquisador,Ciências Sociais Aplicadas,Sociologia e Antropologia da Alimentação,2
40000118,Pesquisador,Ciências Agrárias,Sistemas Agrícolas Tradicionais (SATs),1
40000119,Pesquisador,Ciências Biológicas,Etnobotânica,1
40000127,Técnico,"Suprimento, Manutenção e Serviços",Suporte à Gestão,19
40000131,Pesquisador,Ciências da Saúde,Nutrição,1
40000133,Pesquisador,Ciências Biológicas,Agro sociobiodiversidade e Sementes Crioulas,1
40000134,Pesquisador,Ciência e Tecnologia de Alimentos,Tecnologia e Inovação Alimentar para Gastronomia,3
40000141,Analista,Laboratórios e Campos Experimentais,Química,5
40000150,Analista,Ciência e Tecnologia de Alimentos,Ciência de Alimentos de Origem Animal,1
40000175,Pesquisador,Ciências Exatas e da Terra,Engenharia,1
40000176,Analista,Ciências Sociais Aplicadas,Ciências Sociais Aplicadas à Agropecuária,9
40000188,Técnico,Laboratório e Campos Experimentais,Laboratório,59
40000202,Analista,Gestão Estratégica,"Riscos, Conformidade e Transparência",2
40000205,Analista,Laboratórios e Campos Experimentais,Biofísica Ambiental,1
40000210,Analista,Laboratórios e Campos Experimentais,Apoio a Campo Experimental,7
40000224,Pesquisador,Ciências Exatas e da Terra,Energias Renováveis,1
40000237,Analista,Métodos Quantitativos Avançados,Métodos Quantitativos,4
40000262,Técnico,Laboratório e Campos Experimentais,Bioquímica e Biologia Molecular,1
40000268,Pesquisador,Ciências Agrárias,Melhoramento Genético Animal,6
40000271,Pesquisador,Produção Aquícola,Manejo e Conservação de Recursos Pesqueiros,2
40000281,Analista,Ciência e Tecnologia de Alimentos,Ciência de Alimentos de Organismos Aquáticos,1
40000288,Técnico,"Suprimento, Manutenção e Serviços",Aquicultura,3
40000322,Pesquisador,Ciências Exatas e da Terra,Bioprocessos para Energias Renováveis,1
40000332,Analista,Ciências Biológicas,Recursos Genéticos e Melhoramento Genético Vegetal,4
40000338,Pesquisador,Ciências Exatas e da Terra,Agricultura Digital,1
40000339,Pesquisador,Ciências Exatas e da Terra,Impactos Ambientais,1
40000345,Pesquisador,Ciências Biológicas,Biologia Sintética e Ciências Ômicas,2
40000346,Pesquisador,Ciências Exatas e da Terra,Química de Produtos Naturais,1
40000353,Analista,Nanotecnologia,Nanotecnologia,2
40000361,Pesquisador,Ciências Agrárias,Sistemas de Produção de Caprinos e Ovinos,1
40000373,Pesquisador,Ciências Exatas e da Terra,Agricultura e Climatologia,7
40000379,Analista,Ciências Agrárias,Clínica e Cirurgia de Caprinos e Ovinos,1
40000383,Analista,Gestão Estratégica,Governança e Estratégia,7
40000402,Pesquisador,Ciências Agrárias,Sistemas de Produção Animal,3
40000404,Pesquisador,Engenharias,Robótica e Sensoriamento,1
40000405,Pesquisador,Espectroscopia Aplicada,Instrumentação em Ressonância Magnética Nuclear,1
40000408,Analista,Orçamento e Finanças,Orçamento e Finanças,2
40000432,Analista,Transferência de Tecnologia e Comunicação,Jornalismo,7
40000435,Pesquisador,Ciências Agrárias,Modelagem e Simulação em Sistemas Agrícolas,1
40000457,Pesquisador,Ciências Agrárias,Ambiência e Bioclimatologia Animal,2
40000458,Pesquisador,Ciências Agrárias,Sistemas de Produção de Leite,1
40000463,Analista,Transferência de Tecnologia e Comunicação,Designer Gráfico,6
40000464,Analista,Laboratórios e Campos Experimentais,Apoio a Campo Experimental Produção Animal,4
40000497,Analista,Transferência de Tecnologia e Comunicação,Gestão da Propriedade Intelectual para a Inovação,5
40000502,Pesquisador,Ciências Biológicas,Fisiologia Vegetal,1
